N,P,K,temperature,humidity,ph,rainfall,label
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya
94,70,48,25.13686519,84.88394407,6.195152442,91.46442491,banana
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,lentil
17,43,22,30.06142622,45.90067655,5.498340807999999,41.0550915,mothbeans
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,coffee
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,coffee
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
59,47,53,32.86316618,91.4618874,6.8506632320000005,47.271547,papaya
32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil
12,29,13,22.45616931,91.52781832,7.57125447,118.0069295,orange
26,65,22,17.84806561,18.77621951,5.9499490810000015,143.09841709999995,kidneybeans
12,6,8,30.84835031,92.86773675,6.388617138,107.4142681,orange
9,143,197,23.75033085,92.88160462,5.570020684,117.6602827,apple
32,55,51,29.60718808,93.15642801,6.57398033,62.68710535,papaya
84,27,29,23.32293161,53.00366334,7.167092586,168.26442869999997,coffee
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
95,37,35,27.31317116,68.42333909999999,6.348337518999998,192.4288139,coffee
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
80,30,25,26.24092174,65.64381357,7.487266991,148.37712019999995,coffee
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana
54,62,80,17.48911699,16.39055394,7.489545074,79.45758333,chickpea
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute
93,85,49,27.96799119,79.28625709,5.694243847,119.4765557,banana
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange
70,50,53,37.4620912,90.44967809,6.933809742999999,172.3458448,papaya
56,58,49,37.13165026,94.60761797,6.69215564,172.47880619999995,papaya
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
